Timestamp,Day,Hour,Weather,Area_Type,Traffic_Density,Car_Count,Bike_Count,Truck_Count,Signal_Waiting_Time_Seconds
2025-09-26 17:03:00,Friday,17,Foggy,Industrial,Medium,32,46,9,37
2025-01-02 01:33:00,Thursday,1,Foggy,Residential,Low,18,17,5,5
2025-09-03 04:37:00,Wednesday,4,Clear,School Zone,Low,7,27,5,10
2025-11-18 01:30:00,Tuesday,1,Rainy,Commercial,Medium,34,49,13,46
2025-01-15 06:04:00,Wednesday,6,Foggy,Industrial,Low,5,18,5,16
2025-03-13 16:03:00,Thursday,16,Stormy,School Zone,Low,9,11,2,20
2025-01-27 22:02:00,Monday,22,Cloudy,School Zone,Low,13,11,1,18
2025-12-26 08:00:00,Friday,8,Cloudy,Industrial,High,63,99,24,98
2025-03-18 13:56:00,Tuesday,13,Rainy,Highway,Medium,49,54,11,35
2025-10-10 19:27:00,Friday,19,Clear,Residential,Medium,30,48,14,36
2025-07-09 01:51:00,Wednesday,1,Clear,Highway,Medium,22,40,7,40
2025-09-13 06:36:00,Saturday,6,Stormy,School Zone,Low,12,29,1,16
2025-12-15 14:11:00,Monday,14,Stormy,Industrial,Medium,37,32,12,58
2025-11-27 23:21:00,Thursday,23,Stormy,Residential,Low,16,10,3,16
2025-02-13 01:58:00,Thursday,1,Stormy,School Zone,Low,12,14,0,17
2025-09-29 22:46:00,Monday,22,Stormy,Residential,Low,15,13,0,16
2025-04-12 23:08:00,Saturday,23,Rainy,Highway,Low,5,16,4,20
2025-03-11 12:48:00,Tuesday,12,Rainy,Industrial,Low,20,21,2,12
2025-09-09 02:24:00,Tuesday,2,Clear,Highway,Low,14,24,0,15
2025-10-25 00:29:00,Saturday,0,Rainy,Commercial,Low,9,19,5,18
2025-04-04 03:17:00,Friday,3,Clear,Residential,Low,18,24,4,6
2025-11-17 10:51:00,Monday,10,Stormy,School Zone,High,101,114,15,104
2025-06-12 06:28:00,Thursday,6,Foggy,Residential,Low,13,27,2,18
2025-07-13 10:12:00,Sunday,10,Foggy,Commercial,High,85,112,27,120
2025-11-14 23:23:00,Friday,23,Clear,School Zone,Medium,26,52,13,33
2025-02-11 17:35:00,Tuesday,17,Rainy,Commercial,High,113,122,30,164
2025-03-01 16:51:00,Saturday,16,Cloudy,School Zone,Medium,30,52,7,29
2025-04-26 11:07:00,Saturday,11,Stormy,Industrial,Medium,44,64,8,27
2025-10-20 17:09:00,Monday,17,Foggy,Commercial,Medium,26,59,5,29
2025-04-19 10:12:00,Saturday,10,Cloudy,Commercial,High,115,120,18,145
2025-11-01 14:14:00,Saturday,14,Foggy,Residential,Low,11,20,5,14
2025-09-02 14:34:00,Tuesday,14,Clear,Residential,Medium,27,48,9,36
2025-02-15 16:46:00,Saturday,16,Cloudy,Commercial,Medium,44,69,13,56
2025-04-13 05:22:00,Sunday,5,Clear,Highway,Medium,37,62,8,60
2025-09-19 03:59:00,Friday,3,Rainy,Industrial,Medium,49,53,13,35
2025-07-30 13:20:00,Wednesday,13,Stormy,School Zone,Low,6,24,3,13
2025-04-20 08:36:00,Sunday,8,Clear,Highway,Medium,27,35,7,37
2025-03-13 12:56:00,Thursday,12,Clear,Highway,Low,16,30,1,12
2025-01-21 07:47:00,Tuesday,7,Rainy,Highway,High,50,98,20,134
2025-11-14 18:55:00,Friday,18,Cloudy,Residential,Medium,20,34,7,32
2025-04-30 21:42:00,Wednesday,21,Stormy,Highway,Low,5,28,5,19
2025-05-02 11:05:00,Friday,11,Stormy,Commercial,Low,13,30,1,17
2025-11-08 00:05:00,Saturday,0,Rainy,Residential,Low,6,27,4,6
2025-03-04 12:01:00,Tuesday,12,Cloudy,Industrial,Medium,29,36,14,55
2025-04-06 06:59:00,Sunday,6,Stormy,Residential,Low,6,12,3,18
2025-10-19 11:28:00,Sunday,11,Foggy,Highway,Low,10,22,3,19
2025-10-14 21:49:00,Tuesday,21,Stormy,School Zone,Low,15,11,4,13
2025-03-30 20:02:00,Sunday,20,Foggy,Industrial,Medium,45,67,14,55
2025-03-29 08:40:00,Saturday,8,Foggy,Highway,Medium,25,35,8,55
2025-11-28 06:03:00,Friday,6,Rainy,Commercial,Low,7,23,2,13
2025-12-16 22:32:00,Tuesday,22,Foggy,Residential,Low,19,18,4,11
2025-12-19 17:46:00,Friday,17,Clear,Highway,Medium,21,64,9,38
2025-03-05 11:53:00,Wednesday,11,Rainy,School Zone,Low,5,13,3,18
